Date,Open,High,Low,Close,Adj Close,Volume
2011-07-20,3.812500,3.812500,3.683330,3.698330,3.698330,13461216
2011-07-21,3.711670,3.833330,3.650000,3.773330,3.773330,16412568
2011-07-22,3.770000,3.905420,3.759170,3.890580,3.890580,11479656
2011-07-25,3.794170,3.929080,3.775420,3.867500,3.867500,10023792
2011-07-26,3.855420,3.935830,3.836250,3.888750,3.888750,12930288
2011-07-27,3.817920,3.824970,3.566670,3.593750,3.593750,18033552
2011-07-28,3.600420,3.747500,3.557920,3.612920,3.612920,15427344
2011-07-29,3.521250,3.689170,3.473750,3.577920,3.577920,18727728
2011-08-01,3.707500,3.726670,3.400000,3.529580,3.529580,24700440
2011-08-02,3.474170,3.523330,3.247920,3.261670,3.261670,22161432
2011-08-03,3.268330,3.362920,3.102500,3.346250,3.346250,22014384
2011-08-04,3.208330,3.224170,2.890000,2.890830,2.890830,36576792
2011-08-05,2.986670,3.023750,2.590420,2.827080,2.827080,39748152
2011-08-08,2.577920,2.718080,2.325000,2.330420,2.330420,48181992
2011-08-09,2.422500,2.657920,2.232920,2.649580,2.649580,53354688
2011-08-10,2.475420,2.587620,2.323330,2.337080,2.337080,40478256
2011-08-11,2.427920,2.717080,2.398390,2.637080,2.637080,35821608
2011-08-12,2.697080,2.752080,2.602920,2.704170,2.704170,30085392
2011-08-15,2.737920,2.821670,2.700420,2.820830,2.820830,18955128
2011-08-16,2.738330,2.821670,2.640830,2.748330,2.748330,18845952
2011-08-17,2.765000,2.830830,2.620000,2.703750,2.703750,26464368
2011-08-18,2.482500,2.484170,2.237080,2.311670,2.311670,41254368
2011-08-19,2.232920,2.400830,2.175000,2.182080,2.182080,35914992
2011-08-22,2.337500,2.340420,2.183750,2.201670,2.201670,27223944
